"id","text","country"
"id01704","These bizarre attempts at explanation were followed by others equally bizarre.","MYS"
"id10125","For many prodigies and signs had taken place, and far and wide, over sea and land, the black wings of the Pestilence were spread abroad.","MYS"
"id02448","All that as yet can fairly be said to be known is, that 'Pure gold can be made at will, and very readily from lead in connection with certain other substances, in kind and in proportions, unknown.' Speculation, of course, is busy as to the immediate and ultimate results of this discovery a discovery which few thinking persons will hesitate in referring to an increased interest in the matter of gold generally, by the late developments in California; and this reflection brings us inevitably to another the exceeding inopportuneness of Von Kempelen's analysis.","MYS"
"id23451","I seemed to be upon the verge of comprehension without power to comprehend men, at times, find themselves upon the brink of remembrance without being able, in the end, to remember.","MYS"
"id27907","Our compasses, depth gauges, and other delicate instruments were ruined; so that henceforth our only reckoning would be guesswork, based on our watches, the calendar, and our apparent drift as judged by any objects we might spy through the portholes or from the conning tower.","GER"
"id08121","This the young warriors took back with them to Sarnath as a symbol of conquest over the old gods and beings of Ib, and a sign of leadership in Mnar.","GER"
"id15222","Meantime the whole Paradise of Arnheim bursts upon the view.","MYS"
"id00764","I was rich and young, and had a guardian appointed for me; and all about me would act as if I were one of their great society, while I must keep the secret that I really was cut off from them for ever.","MYS"
"id00683","We could make out little by the dim light, but they seemed to contain prophecies, detailed relations of events but lately passed; names, now well known, but of modern date; and often exclamations of exultation or woe, of victory or defeat, were traced on their thin scant pages.","CAN"
"id11733","Even now They talked in Their tombs.","GER"
"id03205","Sheehan especially did they ply with inquiries, yet without eliciting any information of value concerning Old Bugs.","GER"
"id01948","He cried aloud once, and a little later gave a gasp that was more terrible than a cry.","GER"
"id22412","The old tracks crossed River Street at grade, and at once veered off into a region increasingly rural and with less and less of Innsmouth's abhorrent fishy odour.","GER"
"id05258","His soul overflowed with ardent affections, and his friendship was of that devoted and wondrous nature that the world minded teach us to look for only in the imagination.","CAN"
"id00144","After the first start, he replaced the tissue wrapping around the portrait, as if to shield it from the sordidness of the place.","GER"
"id19576","""The present peculiar condition of affairs at court, and especially of those intrigues in which D is known to be involved, would render the instant availability of the document its susceptibility of being produced at a moment's notice a point of nearly equal importance with its possession.""","MYS"
"id01577","Wilbur's growth was indeed phenomenal, for within three months of his birth he had attained a size and muscular power not usually found in infants under a full year of age.","GER"
"id01651","Pausing, I succeeded with difficulty in raising it, whereupon there was revealed a black aperture, exhaling noxious fumes which caused my torch to sputter, and disclosing in the unsteady glare the top of a flight of stone steps.","GER"
"id27080","It was all mud an' water, an' the sky was dark, an' the rain was wipin' aout all tracks abaout as fast as could be; but beginnin' at the glen maouth, whar the trees had moved, they was still some o' them awful prints big as bar'ls like he seen Monday.""","GER"
"id20751","The visits of Merrival to Windsor, before frequent, had suddenly ceased.","CAN"
"id21136","It is not to be supposed, however, that the great Underduk suffered this impertinence on the part of the little old man to pass off with impunity.","MYS"
"id10279","I need not tell you how sceptical I have hitherto been on the topic of the soul's immortality.","MYS"
"id12683","I often compared myself to them, and finding that my chief superiority consisted in power, I soon persuaded myself that it was in power only that I was inferior to the chiefest potentates of the earth.","CAN"
"id19180","And the children's children, and the newcomers' children, grew up.","GER"
"id02236","Dr. Johnson, as I beheld him, was a full, pursy Man, very ill drest, and of slovenly Aspect.","GER"
"id11523","Presently the murmur of water fell gently upon my ear and in a few moments afterward, as I turned with the road somewhat more abruptly than hitherto, I became aware that a building of some kind lay at the foot of a gentle declivity just before me.","MYS"
"id22530","Ellison was remarkable in the continuous profusion of good gifts lavished upon him by fortune.","MYS"
"id22197","I still continued in the plane of the elipse, but made little progress to the eastward.","MYS"
"id24941","It was useless to provide many things, for we should find abundant provision in every town.","MYS"
"id15218","They fly quickly over the snow in their sledges; the motion is pleasant, and, in my opinion, far more agreeable than that of an English stagecoach.","CAN"
"id02164","I pointed to the spot where he had disappeared, and we followed the track with boats; nets were cast, but in vain.","CAN"
"id17654","I have indistinct recollections of a great storm some time after I reached the boat; at any rate, I know that I heard peals of thunder and other tones which Nature utters only in her wildest moods.","GER"
"id20824","There had seemed to be no one in the courtyard below, and I hoped there would be a chance to get away before the spreading of a general alarm.","GER"
"id21164","Mein Gott do you take me vor a shicken?"" ""No oh no"" I replied, much alarmed, ""you are no chicken certainly not.""","MYS"
"id08820","Perpetual fear had jaundiced his complexion, and shrivelled his whole person.","CAN"
"id17407","The sun set; the atmosphere grew dim and the evening star no lonDE shone companionless.","CAN"
"id05166","The rain ceased; the clouds sunk behind the horizon; it was now evening, and the sun descended swiftly the western sky.","CAN"
"id07779","Nothing, however, occurred except some hill noises; and when the day came there were many who hoped that the new horror had gone as swiftly as it had come.","GER"
"id14749","The state rooms were sufficiently roomy, and each had two berths, one above the other.","MYS"
"id10634","It was getting dark, and the ancient roofs and chimney pots outside looked very queer through the bull's eye window panes.","GER"
"id03555","They were marched to various parts of the southern counties, quartered in deserted villages, a part were sent back to their own island, while the season of winter so far revived our energy, that the passes of the country were defended, and any increase of numbers prohibited.","CAN"
"id26727","We suffered no little from cold, and the dampness of the atmosphere was most unpleasant; but the ample space in the car enabled us to lie down, and by means of cloaks and a few blankets, we did sufficiently well.","MYS"
"id06312","I dared, I conquered them all, till now I have sold myself to death, with the sole condition that thou shouldst follow me Fire, and war, and plague, unite for thy destruction O my Raymond, there is no safety for thee"" With an heavy heart I listened to the changes of her delirium; I made her a bed of cloaks; her violence decreased and a clammy dew stood on her brow as the paleness of death succeeded to the crimson of fever, I placed her on the cloaks.","MYS"
"id24464","Again he seemed to be in the interior of a house an old house, apparently but the details and inhabitants were constantly changing, and he could never be certain of the faces or the furniture, or even of the room itself, since doors and windows seemed in just as great a state of flux as the more presumably mobile objects.","GER"
"id18006","This gentleman was clothed from head to foot in a richly embroidered black silk velvet pall, wrapped negligently around his form after the fashion of a Spanish cloak.","MYS"
"id04459","The pigeons appeared distressed in the extreme, and struggled to escape; while the cat mewed piteously, and, with her tongue hanging out of her mouth, stagDEed to and fro in the car as if under the influence of poison.","MYS"
"id06749","""And what about the window panes?"" ""They were all gone.","GER"
"id11062","I panted I gasped for breath There could be no doubt of the design of my tormentors oh most unrelenting oh most demoniac of men I shrank from the glowing metal to the centre of the cell.","MYS"
"id01571","With great difficulty I gained my feet, and looking dizzily around, was, at first, struck with the idea of our being among breakers; so terrific, beyond the wildest imagination, was the whirlpool of mountainous and foaming ocean within which we were engulfed.","MYS"
"id03152","The next morning I delivered my letters of introduction and paid a visit to some of the principal professors.","CAN"
"id06412","Nor did Raymond make an end without drawing in vivid and glowing colours, the splendour of a kingdom, in opposition to the commercial spirit of republicanism.","CAN"
"id10155","How this celebrated Magazine can sustain its evidently tremendous expenses, is more than we can understand.","MYS"
"id24823","In a week or two it had visibly faded, and in the course of a few months it was hardly discernible with the naked eye.""","GER"
"id06377","The stranDE learned about twenty words at the first lesson; most of them, indeed, were those which I had before understood, but I profited by the others.","CAN"
"id01222","Each people looked on the coming struggle as that which would be to a great degree decisive; as, in case of victory, the next step would be the siege of Constantinople by the Greeks.","CAN"
"id10142","""But could not the cavity be detected by sounding?""","MYS"
"id08521","My lieutenant, for instance, is a man of wonderful courage and enterprise; he is madly desirous of glory, or rather, to word my phrase more characteristically, of advancement in his profession.","CAN"
"id13267","Within twenty four hours that machine near the table will generate waves acting on unrecognised sense organs that exist in us as atrophied or rudimentary vestiges.","GER"
"id06001","""Everybody got aout o' the idee o' dyin' excep' in canoe wars with the other islanders, or as sacrifices to the sea gods daown below, or from snake bite or plague or sharp gallopin' ailments or somethin' afore they cud take to the water but simply looked forrad to a kind o' change that wa'n't a bit horrible arter a while.","GER"
"id22877","The lips were of the usual marble pallor.","MYS"
"id02647","""That is absolutely needless,"" replied G .","MYS"
"id10154","Ahead lay sparse grass and scrub blueberry bushes, and beyond them the naked rock of the crag and the thin peak of the dreaded grey cottage.","GER"
"id22605","To be near him, to be loved by him, to feel him again her own, was the limit of her desires.","MYS"
"id18034","The sky was serene; and, as I was unable to rest, I resolved to visit the spot where my poor William had been murdered.","CAN"
"id27266","I say ""thing"" be it observed for they tell me the Latin for it is rem.","MYS"
"id10676","All that he said threw greatly into the shade Cornelius Agrippa, Albertus Magnus, and Paracelsus, the lords of my imagination; but by some fatality the overthrow of these men disinclined me to pursue my accustomed studies.","CAN"
"id03833","The ex queen gives me Idris; Adrian is totally unfitted to succeed to the earldom, and that earldom in my hands becomes a kingdom.","CAN"
"id16135","The pupils, too, upon any accession or diminution of light, underwent contraction or dilation, just such as is observed in the feline tribe.","MYS"
"id19878","""Keep up the largest branch the one on this side,"" said Legrand.","MYS"
"id25019","And quivering awhile among the draperies of the room, it at length rested in full view upon the surface of the door of brass.","MYS"
"id18067","Maternal affection had not rendered Idris selfish; at the beginning of our calamity she had, with thoughtless enthusiasm, devoted herself to the care of the sick and helpless.","CAN"
"id23088","He came like a protecting spirit to the poor girl, who committed herself to his care; and after the interment of his friend he conducted her to Geneva and placed her under the protection of a relation.","MYS"
"id06172","I had expected some extravagant proposition, and remained silent awhile, collecting my thoughts that I might the better combat her fanciful scheme.","CAN"
"id08466","Matters had now assumed a really serious aspect, and I resolved to call at once upon my particular friend, Mr. Theodore Sinivate; for I knew that here at least I should get something like definite information.","MYS"
"id02547","The system had its disadvantages, and even its danDEs.","MYS"
"id04451","Everyone seemed inclined to be silent now, as though holding a secret fear.","GER"
"id04853","They still appeared in public together, and lived under the same roof.","CAN"
"id21482","""But, my dear fellow, you are joking then,"" said I, ""this is a very passable skull indeed, I may say that it is a very excellent skull, according to the vulgar notions about such specimens of physiology and your scarabæus must be the queerest scarabæus in the world if it resembles it.","MYS"
"id03072","I vaow afur Gawd, I dun't know what he wants nor what he's a tryin' to dew.""","GER"
"id08617","He began to answer with violence: ""Yes, yes, I hate you You are my bane, my poison, my disgust Oh No"" And then his manner changed, and fixing his eyes on me with an expression that convulsed every nerve and member of my frame ""you are none of all these; you are my light, my only one, my life.","CAN"
"id04159","I shivered as I wondered why I did not reach the light, and would have looked down had I dared.","GER"
"id18740","The slow ravages of disease are not pleasant to watch, but in my case there was something subtler and more puzzling in the background.","GER"
"id11321","As the Comte and his associates turned away from the lowly abode of the alchemists, the form of Charles Le Sorcier appeared through the trees.","GER"
"id06564","As I have said, it happened when we were in the medical school, where West had already made himself notorious through his wild theories on the nature of death and the possibility of overcoming it artificially.","GER"
"id01004","Besides, Perdita was with him in his retirement; she saw the moodiness that succeeded to this forced hilarity; she marked his disturbed sleep, his painful irritability once she had seen his tears hers had scarce ceased to flow, since she had beheld the big drops which disappointed pride had caused to gather in his eye, but which pride was unable to dispel.","CAN"
"id09114","I packed up my chemical instruments and the materials I had collected, resolving to finish my labours in some obscure nook in the northern highlands of Scotland.","MYS"
"id27670","The ideas of my friend may be summed up in a few words.","MYS"
"id15648","A definite point among the stars had a claim on him and was calling him.","GER"
"id27679","I believe I shall be forced to call them both out.","MYS"
"id14878","God knows what that world can have been, or where he ever glimpsed the blasphemous shapes that loped and trotted and crawled through it; but whatever the baffling source of his images, one thing was plain.","GER"
"id15083","Yet all these appearances have been given I beg pardon will be given by the learned of future ages, to the Ashimah of the Syrians.","MYS"
"id24979","My skin was embrowned by the sun; my step was firm with conscious power.","CAN"
"id20087","It was in these slums along Main Street that I would find the old Georgian churches, but they were all long abandoned.","GER"
"id06500","""I believe, sir, you have forgotten to pay for your brandy and water.""","MYS"
"id21174","I started forward and exclaimed, ""Villain Before you sign my death warrant, be sure that you are yourself safe.""","CAN"
"id23958","Only his eyes stayed whole, and they glared with a propulsive, dilated incandescence which grew as the face around them charred and dwindled.","GER"
"id13881","He determined to extract and condense all of glory, power, and achievement, which might have resulted from a long reign, into the three years of his Protectorate.","CAN"
"id01306","There was no advertisement of the picking up of this boat.","MYS"
"id15580","Baffled, the excavators sought a conference with the Superintendent, who ordered great lengths of rope to be taken to the pit, and spliced and lowered without cessation till a bottom might be discovered.","GER"
"id07787","They had received orders that if I were again taken, I should be brought to the Earl; and his lenity made them expect a conclusion which they considered ill befitting my crime.","CAN"
"id13315","Then the lean Nith remarked that no one had seen the old man or his wife since the night the cats were away.","GER"
"id02772","Six years had elapsed, passed in a dream but for one indelible trace, and I stood in the same place where I had last embraced my father before my departure for Ingolstadt.","CAN"
"id19806","""But that Kidd's accumulations were immense, is well known.","MYS"
"id05293","And as I looked, I beheld the head rise, the black, liquid, and deep sunken eyes open in terror, and the thin, shadowed lips part as if for a scream too frightful to be uttered.","GER"
"id17840","And from their high summits, one by one, drop everlasting dews.","MYS"
"id10113","I had now spent many hours in tears and mournful meditation; it was past twelve o'clock; all was at peace in the house, and the gentle air that stole in at my window did not rustle the leaves of the twining plants that shadowed it.","CAN"
"id17270","With the traditionally receptive ears of the small boy, I learned much; though an habitual secretiveness caused me to tell no one of my information or my resolve.","GER"
"id24267","He did not himself understand these words, or know why certain things made him feel certain emotions; but fancied that some unremembered dream must be responsible.","GER"
"id21317","Look, I weep: for more than two years I have never enjoyed one moment free from anguish.","CAN"
"id24125","It is indeed demonstrable that every such impulse given the air, must, in the end, impress every individual thing that exists within the universe; and the being of infinite understanding the being whom we have imagined might trace the remote undulations of the impulse trace them upward and onward in their influences upon all particles of an matter upward and onward for ever in their modifications of old forms or, in other words, in their creation of new until he found them reflected unimpressive at last back from the throne of the Godhead.","MYS"
"id02655","Justine was called on for her defence.","MYS"
"id18911","His engagement broken, Galpin moved east to begin life anew; but before long, Appletonians heard of his dismissal in disgrace from New York University, where he had obtained an instructorship in English.","GER"
"id26487","He had a narrow head, bulging, watery blue eyes that seemed never to wink, a flat nose, a receding forehead and chin, and singularly undeveloped ears.","GER"
"id05457","It will be remembered, that, in the earliest stage of my speculations upon the possibility of a passage to the moon, the existence, in its vicinity, of an atmosphere, dense in proportion to the bulk of the planet, had entered largely into my calculations; this too in spite of many theories to the contrary, and, it may be added, in spite of a general disbelief in the existence of any lunar atmosphere at all.","MYS"
"id07762","My words flowed spontaneously my utterance was firm and quick.","CAN"
"id22890","Only a very rare affliction, of course, could bring about such vast and radical anatomical changes in a single individual after maturity changes involving osseous factors as basic as the shape of the skull but then, even this aspect was no more baffling and unheard of than the visible features of the malady as a whole.","GER"
"id12353","As I fled from that accursed castle along the bog's edge I heard a new sound; common, yet unlike any I had heard before at Kilderry.","GER"
"id05582","He did not try to navigate after the first bold flight, for the reaction had taken something out of his soul.","GER"
"id21404","A bear once, attempting to swim from Lofoden to Moskoe, was caught by the stream and borne down, while he roared terribly, so as to be heard on shore.","MYS"
"id14312","He obeyed her injunctions, and passed a year in exile in Cumberland.","CAN"
"id18834","He reverted to his past life, his successes in Greece, his favour at home.","CAN"
"id06817","Murderers, casting it in, would not have failed to attach a weight.","MYS"
"id23484","After each short and inevitable sleep I seemed older, whilst my friend aged with a rapidity almost shocking.","GER"
"id05876","I look on the hands which executed the deed; I think on the heart in which the imagination of it was conceived and long for the moment when these hands will meet my eyes, when that imagination will haunt my thoughts no more.","CAN"
"id22987","Horrible sights were shaped to me in the turbid cloud that hovered over the city; and my only relief was derived from the struggles I made to approach the gate.","MYS"
"id05449","In order to reach it, he said, he would soar through abysses of emptiness, burning every obstacle that stood in his way.","GER"
"id24399","""Pierre Moreau, tobacconist, deposes that he has been in the habit of selling small quantities of tobacco and snuff to Madame L'Espanaye for nearly four years.","MYS"
"id11413","I still quickened my pace.","MYS"
"id03950","I resolved to fly far from the scene of my misfortunes; but to me, hated and despised, every country must be equally horrible.","CAN"
"id08447","It was in the spirit of this wisdom that, among the ancient Hebrews, it was believed the gates of Heaven would be inevitably opened to that sinner, or saint, who, with good lungs and implicit confidence, should vociferate the word ""Amen"" It was in the spirit of this wisdom that, when a great plague raged at Athens, and every means had been in vain attempted for its removal, Epimenides, as Laertius relates, in his second book, of that philosopher, advised the erection of a shrine and temple ""to the proper God."" LYTTLETON BARRY.","MYS"
"id21568","I feel confident he never would have dreamed of taking up his residence in Alexander the Great o nopolis had he been aware that, in Alexander the Great o nopolis, there lived a gentleman named John Smith if I rightly remember, who for many years had there quietly grown fat in editing and publishing the 'Alexander the Great o nopolis Gazette.'","MYS"
"id25461","I will protect the first the latter I commit to your charge.","CAN"
"id01207","Miserable himself that he may render no other wretched, he ought to die.","CAN"
"id08041","The police heard a shot in the old Tillinghast house and found us there Tillinghast dead and me unconscious.","GER"
"id03570","It is even possible that the train of my ideas would never have received the fatal impulse that led to my ruin.","CAN"
"id09713","I had not entered the army on my own initiative, but rather as a natural result of the enlistment of the man whose indispensable assistant I was the celebrated Boston surgical specialist, Dr. Herbert West.","GER"
"id12320","It was my last link with a chapter of life forever closed, and I valued it highly.","GER"
"id18040","The lonDE I meditated upon these the more intense grew the interest which had been excited within me.","MYS"
"id27756","She often repined; but her trust in the singleness of his affection was undisturbed; and, when they were together, unchecked by fear, she opened her heart to the fullest delight.","CAN"
"id15641","To me there was nothing grotesque in the bones and skeletons that strowed some of the stone crypts deep down among the foundations.","GER"
"id11826","He was full of thought, and remained silent during a considerable part of our ride; at length he said, ""I must apologize to you for my abstraction; the truth is, Ryland's motion comes on to night, and I am considering my reply.""","CAN"
"id06472","The Thing cannot be described there is no language for such abysms of shrieking and immemorial lunacy, such eldritch contradictions of all matter, force, and cosmic order.","GER"
"id04172","To add to our dilemma, we found the pumps choked and nearly useless.","MYS"
"id23387","By these means for they were ignorant men I found little difficulty in gaining them over to my purpose.","MYS"
"id16818","It was queer damnably queer and my uncle spoke almost sheepishly, as if half expecting not to be believed, when he declared that of the strange faces many had unmistakably borne the features of the Harris family.","GER"
"id09068","For three months a night has not passed, during the greater part of which I have not been engaged, personally, in ransacking the D Hotel.","MYS"
"id15774","Raymond did not wonder, that, thus situated, the artist had shrunk from notice, but he did not for this alter his resolve.","CAN"
"id17128","Not any more does he long for the magic of farther hills, or sigh for secrets that peer like green reefs from a bottomless sea.","GER"
"id08079","But while I endured punishment and pain in their defence with the spirit of an hero, I claimed as my reward their praise and obedience.","MYS"
"id10542","I must collect my thoughts.","CAN"
"id21056","Never imposing upon any one myself, I suffered no one to play the possum with me.","MYS"
"id12080","""Not so,"" said I, ""though I confess that my thoughts are not occupied as pleasantly as yours are.","CAN"
"id10888","Then, as I remained, paralysed with fear, he found his voice and in his dying breath screamed forth those words which have ever afterward haunted my days and my nights.","GER"
"id23731","""Surely it is not the custom of Englishmen to receive stranDEs so inhospitably.""","CAN"
"id23209","They remained confined for five months before the trial took place, the result of which deprived them of their fortune and condemned them to a perpetual exile from their native country.","CAN"
"id25905","they never stopped swimmin' in an' aout o' the river from that cursed reef o' Satan an' more an' more attic winders got a boarded up, an' more an' more noises was heerd in haouses as wa'n't s'posed to hev nobody in 'em. . . .","GER"
"id05110","At Lawrence he had been prominent in the mock fraternity of ""Tappa Tappa Keg"", where he was the wildest and merriest of the wild and merry young roysterers; but this immature, collegiate frivolity did not satisfy him.","GER"
"id12871","The limbs, save for their black fur, roughly resembled the hind legs of prehistoric earth's giant saurians; and terminated in ridgy veined pads that were neither hooves nor claws.","GER"
"id04666","These are my enticements, and they are sufficient to conquer all fear of danDE or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat, with his holiday mates, on an expedition of discovery up his native river.","CAN"
"id27629","There were adequate bolts on the two lateral doors to connecting rooms, and these I proceeded to fasten.","GER"
"id05317","His supposition was that ""a well taught boy very thin and tall of his age sufficiently so that he could be concealed in a drawer almost immediately under the chess board"" played the game of chess and effected all the evolutions of the Automaton.","MYS"
"id20597","Interspersed about the room, crossing and recrossing in endless irregularity, were innumerable benches and desks, black, ancient, and time worn, piled desperately with much bethumbed books, and so beseamed with initial letters, names at full length, grotesque figures, and other multiplied efforts of the knife, as to have entirely lost what little of original form might have been their portion in days long departed.","MYS"
"id09853","If manly courage and resistance can save us, we will be saved.","MYS"
"id09334","The silver hair and benevolent countenance of the aged cottaDE won my reverence, while the gentle manners of the girl enticed my love.","CAN"
"id19728","I commenced by inuring my body to hardship.","CAN"
"id25281","But these absurdities I must not pause to detail.","MYS"
"id03036","I travelled only at night, fearful of encountering the visage of a human being.","CAN"
"id12020","Scarcely had we recovered our senses, before the foretopsail went into shreds, when we got up a storm stay sail and with this did pretty well for some hours, the ship heading the sea much more steadily than before.","MYS"
"id04949","The lower portion of the other is hidden from view by the head of the unwieldy bedstead which is thrust close up against it.","MYS"
"id09194","Adrian had introduced systematic modes of proceeding in the metropolis, which, while they were unable to stop the progress of death, yet prevented other evils, vice and folly, from rendering the awful fate of the hour still more tremendous.","CAN"
"id01172","""At a quarter past eight, being no lonDE able to draw breath without the most intolerable pain, I proceeded forthwith to adjust around the car the apparatus belonging to the condenser.","MYS"
"id21956","The professor had been stricken whilst returning from the Newport boat; falling suddenly, as witnesses said, after having been jostled by a nautical looking negro who had come from one of the queer dark courts on the precipitous hillside which formed a short cut from the waterfront to the deceased's home in Williams Street.","MYS"
"id01830","Suddenly the wretch, animated with his last burst of strength, raised his hideous head from the damp and sunken pavement.","MYS"
"id25698","""Ha ha ha"" said that gentleman ""he he he hi hi hi ho ho ho hu hu hu hu very good indeed You must not be astonished, mon ami; our friend here is a wit a drole you must not understand him to the letter.""","USA"
"id22366","It is true that I may not find an opportunity of transmitting it to the world, but I will not fall to make the endeavour.","USA"
"id17453","I repeat that in landscape arrangements, or collocations alone, is the physical Nature susceptible of ""exaltation"" and that, therefore, her susceptibility of improvement at this one point, was a mystery which, hitherto I had been unable to solve.","USA"
"id15797","He also cut timber and began to repair the unused parts of his house a spacious, peaked roofed affair whose rear end was buried entirely in the rocky hillside, and whose three least ruined ground floor rooms had always been sufficient for himself and his daughter.","MYS"
"id14132","In the meantime it was folly to grieve, or to think.","USA"
"id22533","The extreme darkness of the stage, whose only light was received from the fire under the cauldron, joined to a kind of mist that floated about it, rendered the unearthly shapes of the witches obscure and shadowy.","CAN"
"id25269","Sheehan's is the acknowledged centre to Chicago's subterranean traffic in liquor and narcotics, and as such has a certain dignity which extends even to the unkempt attachés of the place; but there was until lately one who lay outside the pale of that dignity one who shared the squalor and filth, but not the importance, of Sheehan's.","MYS"
"id06356","Perhaps the gradation of his copy rendered it not so readily perceptible; or, more possibly, I owed my security to the master air of the copyist, who, disdaining the letter, which in a painting is all the obtuse can see, gave but the full spirit of his original for my individual contemplation and chagrin.","USA"
"id27761","It was perhaps an effect of such surroundings that my mind early acquired a shade of melancholy.","MYS"
"id04015","""You ought to hear, though, what some of the old timers tell about the black reef off the coast Devil Reef, they call it.","MYS"
"id08936","The prince had provided all the appliances of pleasure.","USA"
"id02672","For a week I tasted to the full the joys of that charnel conviviality which I must not describe, when the thing happened, and I was borne away to this accursed abode of sorrow and monotony.","MYS"
"id01301","He see enough, I tell ye, Mis' Corey This dun't mean no good, an' I think as all the men folks ought to git up a party an' do suthin'.","MYS"
"id11714","No recognised school of sculpture had animated this terrible object, yet centuries and even thousands of years seemed recorded in its dim and greenish surface of unplaceable stone.","MYS"
"id22514","For a long time I dared not hope; but when his unobstructed breathing and the moisture that suffused his forehead, were tokens no lonDE to be mistaken of the departure of mortal malady, I ventured to whisper the news of the change to Idris, and at length succeeded in persuading her that I spoke truth.","CAN"
"id25671","He comprehended, moreover, the true character, the august aims, the supreme majesty and dignity of the poetic sentiment.","USA"
"id27169","Else there is no immortality for man.","USA"
"id07849","I laid the second tier, and the third, and the fourth; and then I heard the furious vibrations of the chain.","USA"
"id03066","All in all, he became a disconcerting and even gruesome companion; yet in my gratitude for his healing I could not well abandon him to the stranDEs around him, and was careful to dust his room and attend to his needs each day, muffled in a heavy ulster which I bought especially for the purpose.","MYS"
"id19449","I longed for the love which had before filled it to overflowing.","USA"
"id15830","It was a lambent glow of this sort which always played about the old woman and the small furry thing in those lighter, sharper dreams which prefaced his plunge into unknown abysses, and the thought that a wakeful second person could see the dream luminance was utterly beyond sane harbourage.","MYS"
"id26636","My first thought was Perdita; to her I must return; her I must support, drawing such food from despair as might best sustain her wounded heart; recalling her from the wild excesses of grief, by the austere laws of duty, and the soft tenderness of regret.","CAN"
"id00037","He owned affinity not only with mankind, but all nature was akin to him; the mountains and sky were his friends; the winds of heaven and the offspring of earth his playmates; while he the focus only of this mighty mirror, felt his life mingle with the universe of existence.","CAN"
"id25376","Uninquiring souls let this occurrence pass as one of the major clashes in a spasmodic war on liquor.","MYS"
